country_or_area,year,comm_code,commodity,flow,trade_usd,weight_kg,quantity_name,quantity,category
Afghanistan,2016,10410,Sheep live,Export,6088,2339,Number of items,51,01_live_animals
Afghanistan,2016,10420,Goats live,Export,3958,984,Number of items,53,01_live_animals
Afghanistan,2008,10210,Bovine animals live pure-bred breeding,Import,1026804,272,Number of items,3769,01_live_animals
Albania,2016,10290,Bovine animals live except pure-bred breeding,Import,2414533,1114023,Number of items,6853,01_live_animals
Albania,2016,10392,Swine live except pure-bred breeding > 50 kg,Import,14265937,9484953,Number of items,96040,01_live_animals
Albania,2016,10511,Fowls live domestic < 185 grams,Import,2671732,254652,Number of items,5629138,01_live_animals
Albania,2016,10511,Fowls live domestic < 185 grams,Export,87581,5320,Number of items,115180,01_live_animals
Albania,2016,10519,Poultry live except domestic fowls < 185 grams,Import,26485,2908,Number of items,64000,01_live_animals
Albania,2016,10591,Fowls live domestic > 185 grams,Import,2421513,1926850,Number of items,1006990,01_live_animals
Albania,2016,10599,Poultry live except domestic fowls > 185 grams,Import,251318,211177,Number of items,205124,01_live_animals
Albania,2016,10600,Animals live except farm animals,Export,584025,59521,Number of items,59521,01_live_animals
Albania,2015,10290,Bovine animals live except pure-bred breeding,Import,7264642,3519352,Number of items,18641,01_live_animals
Albania,2015,10391,Swine live except pure-bred breeding < 50 kg,Import,45843,29930,Number of items,795,01_live_animals
Albania,2015,10392,Swine live except pure-bred breeding > 50 kg,Import,14031292,9439974,Number of items,93222,01_live_animals
Albania,2015,10511,Fowls live domestic < 185 grams,Import,2357680,264599,Number of items,4995885,01_live_animals
Albania,2015,10519,Poultry live except domestic fowls < 185 grams,Import,32327,3843,Number of items,80880,01_live_animals
Albania,2015,10591,Fowls live domestic > 185 grams,Import,2453360,2133310,Number of items,1169944,01_live_animals
Albania,2015,10599,Poultry live except domestic fowls > 185 grams,Import,300813,258566,Number of items,48170912,01_live_animals
Albania,2015,10600,Animals live except farm animals,Export,636184,80774,Number of items,80694,01_live_animals

